ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2020-11-19,1435.9245,1415.6368,1436.4879,1408.2186,1419.2262,16.6983,1.1766,4496034.0,22954188.646
000688.SH,2020-11-18,1419.2262,1431.6594,1441.2247,1418.3613,1430.8084,-11.5822,-0.8095,5021121.0,26304109.095
000688.SH,2020-11-17,1430.8084,1455.2311,1455.2311,1425.2591,1446.9513,-16.1429,-1.1156,4858681.0,26785769.36
000688.SH,2020-11-16,1446.9513,1520.2737,1520.2737,1444.3946,1436.887,10.0643,0.7004,4716782.0,26215785.252
000688.SH,2020-11-13,1436.887,1406.6849,1441.0067,1401.461,1413.2936,23.5934,1.6694,4160211.0,23627754.016
000688.SH,2020-11-12,1413.2936,1404.8095,1421.7398,1404.5715,1395.51,17.7836,1.2743,4220596.0,23261592.941
000688.SH,2020-11-11,1395.51,1440.7792,1441.0049,1393.7349,1441.965,-46.455,-3.2216,5615446.0,32561808.637
000688.SH,2020-11-10,1441.965,1483.656,1483.656,1438.5865,1485.1478,-43.1828,-2.9076,5811330.0,33881578.512
000688.SH,2020-11-09,1485.1478,1446.4716,1491.5152,1442.6223,1441.4739,43.6739,3.0298,7796951.0,45618788.21
000688.SH,2020-11-06,1441.4739,1477.5278,1477.5278,1429.1191,1475.3752,-33.9013,-2.2978,4453441.0,26228602.226
000688.SH,2020-11-05,1475.3752,1477.6142,1479.4708,1453.7243,1458.8957,16.4795,1.1296,4796505.0,27364524.126
000688.SH,2020-11-04,1458.8957,1454.73,1462.6744,1443.4236,1449.0068,9.8889,0.6825,4180001.0,24098062.962
000688.SH,2020-11-03,1449.0068,1403.6429,1451.6319,1402.2637,1400.9122,48.0946,3.4331,5020761.0,28680493.307
000688.SH,2020-11-02,1400.9122,1402.0829,1406.9352,1370.8999,1393.9095,7.0027,0.5024,5250701.0,28983972.084
000688.SH,2020-10-30,1393.9095,1413.5108,1430.1186,1393.9095,1412.0554,-18.1459,-1.2851,6123725.0,35304499.985
000688.SH,2020-10-29,1412.0554,1394.2803,1418.4061,1387.3837,1406.0745,5.9809,0.4254,4612046.0,26794454.255
000688.SH,2020-10-28,1406.0745,1396.5597,1413.6585,1392.0673,1385.7453,20.3292,1.467,4166346.0,24310315.128
000688.SH,2020-10-27,1385.7453,1359.1758,1386.8033,1354.8069,1356.1074,29.6379,2.1855,3147773.0,19204476.095
000688.SH,2020-10-26,1356.1074,1332.6842,1364.9658,1313.4511,1336.527,19.5804,1.465,3074009.0,18436475.066
000688.SH,2020-10-23,1336.527,1380.3698,1389.5165,1336.373,1376.5804,-40.0534,-2.9096,3775379.0,23887906.287
000688.SH,2020-10-22,1376.5804,1395.1306,1395.1306,1373.5056,1396.9773,-20.3969,-1.4601,3329097.0,21553842.422
000688.SH,2020-10-21,1396.9773,1427.2363,1429.4538,1396.1225,1426.181,-29.2037,-2.0477,3849928.0,23104114.708
000688.SH,2020-10-20,1426.181,1413.8658,1428.0754,1402.7109,1412.1484,14.0326,0.9937,3879556.0,22134582.969
000688.SH,2020-10-19,1412.1484,1444.8406,1446.4907,1411.2694,1438.5283,-26.3799,-1.8338,4009461.0,25584666.218
000688.SH,2020-10-16,1438.5283,1457.1513,1461.8287,1429.0797,1453.7887,-15.2604,-1.0497,3777447.0,22630827.773
000688.SH,2020-10-15,1453.7887,1489.3806,1492.9969,1451.8771,1488.6697,-34.881,-2.3431,4520312.0,26861929.746
000688.SH,2020-10-14,1488.6697,1495.3401,1498.0027,1481.1209,1497.5955,-8.9258,-0.596,4673418.0,25563811.851
000688.SH,2020-10-13,1497.5955,1491.8546,1498.8282,1485.1321,1490.5754,7.0201,0.471,5095454.0,27840585.366
000688.SH,2020-10-12,1490.5754,1475.2581,1491.605,1469.6515,1465.9591,24.6163,1.6792,6598166.0,35293726.351
000688.SH,2020-10-09,1465.9591,1446.5161,1467.983,1446.5161,1418.7961,47.163,3.3242,4921015.0,24754719.794
000688.SH,2020-09-30,1418.7961,1394.8631,1431.8762,1393.9116,1389.9628,28.8333,2.0744,3985063.0,20256329.556
000688.SH,2020-09-29,1389.9628,1345.9908,1403.4346,1345.9908,1338.9521,51.0107,3.8097,4293616.0,21227415.374
000688.SH,2020-09-28,1338.9521,1367.462,1369.039,1335.9926,1364.0245,-25.0724,-1.8381,4523227.0,22568496.17
000688.SH,2020-09-25,1364.0245,1399.3884,1402.675,1360.5504,1394.9263,-30.9018,-2.2153,3824131.0,19971286.165
000688.SH,2020-09-24,1394.9263,1412.1571,1416.3779,1392.014,1423.9035,-28.9772,-2.0351,5031487.0,24940740.42
000688.SH,2020-09-23,1423.9035,1401.3748,1440.6395,1400.2817,1390.0862,33.8173,2.4327,6208908.0,30743660.639
000688.SH,2020-09-22,1390.0862,1389.7831,1403.2588,1379.0104,1397.7463,-7.6601,-0.548,5571567.0,27299775.53
000688.SH,2020-09-21,1397.7463,1407.0685,1411.5049,1390.9045,1403.8988,-6.1525,-0.4382,5173416.0,27612911.98
000688.SH,2020-09-18,1403.8988,1386.3824,1403.919,1379.9158,1383.5899,20.3089,1.4678,6376210.0,30212127.551
000688.SH,2020-09-17,1383.5899,1347.4536,1393.853,1335.0274,1349.6719,33.918,2.5131,8406254.0,36518775.884
000688.SH,2020-09-16,1349.6719,1363.3186,1364.4173,1341.6757,1364.6026,-14.9307,-1.0941,4133686.0,20704595.574
000688.SH,2020-09-15,1364.6026,1348.7882,1372.4398,1334.8168,1348.0697,16.5329,1.2264,4109504.0,22576948.542
000688.SH,2020-09-14,1348.0697,1334.9847,1372.8277,1334.9847,1312.5123,35.5574,2.7091,4373248.0,24507233.504
000688.SH,2020-09-11,1312.5123,1279.8406,1313.8472,1272.8442,1280.1888,32.3235,2.5249,4036201.0,20366235.616
000688.SH,2020-09-10,1280.1888,1309.3155,1321.0598,1276.4983,1298.0784,-17.8896,-1.3782,4750599.0,23353059.949
000688.SH,2020-09-09,1298.0784,1331.4285,1332.0747,1289.3502,1344.6124,-46.534,-3.4608,6252185.0,29373070.918
000688.SH,2020-09-08,1344.6124,1356.8211,1363.2754,1328.9241,1356.6991,-12.0867,-0.8909,4448545.0,26848112.397
000688.SH,2020-09-07,1356.6991,1387.4929,1394.9037,1349.7673,1390.2835,-33.5844,-2.4157,6207608.0,36867638.316
000688.SH,2020-09-04,1390.2835,1377.3939,1396.0039,1371.1643,1402.1443,-11.8608,-0.8459,4909810.0,29608111.465
000688.SH,2020-09-03,1402.1443,1422.4154,1423.8929,1396.1111,1422.9526,-20.8083,-1.4623,5304861.0,31018071.537
000688.SH,2020-09-02,1422.9526,1430.8669,1434.9204,1411.842,1426.6505,-3.6979,-0.2592,4919830.0,28487959.233
000688.SH,2020-09-01,1426.6505,1424.4333,1435.6476,1419.6013,1423.2355,3.415,0.2399,4431871.0,24755292.416
000688.SH,2020-08-31,1423.2355,1417.6635,1441.4578,1417.6578,1413.6374,9.5981,0.679,5475692.0,31463771.648
000688.SH,2020-08-28,1413.6374,1415.6485,1416.8167,1393.8469,1417.5587,-3.9213,-0.2766,5652897.0,34076318.139
000688.SH,2020-08-27,1417.5587,1389.9399,1429.955,1380.125,1383.305,34.2537,2.4762,6056520.0,32528230.159
000688.SH,2020-08-26,1383.305,1422.0026,1430.7877,1377.2066,1427.7048,-44.3998,-3.1099,6544953.0,35154034.864
000688.SH,2020-08-25,1427.7048,1449.5374,1462.8962,1424.4151,1450.6667,-22.9619,-1.5829,5269909.0,28269377.099
000688.SH,2020-08-24,1450.6667,1453.4923,1457.5771,1421.8894,1447.7135,2.9532,0.204,5606668.0,29855211.003
000688.SH,2020-08-21,1447.7135,1447.8013,1467.9805,1443.5203,1442.5793,5.1342,0.3559,5215102.0,27691331.562
000688.SH,2020-08-20,1442.5793,1460.0349,1473.0528,1438.4556,1472.0212,-29.4419,-2.0001,6154748.0,32206408.514
000688.SH,2020-08-19,1472.0212,1516.9763,1517.8933,1470.344,1512.5092,-40.488,-2.6769,8016528.0,42729476.783
000688.SH,2020-08-18,1512.5092,1496.4213,1512.7557,1492.9592,1496.4003,16.1089,1.0765,7946743.0,45462336.09
000688.SH,2020-08-17,1496.4003,1486.8129,1501.2509,1471.9158,1484.0407,12.3596,0.8328,7506811.0,38489792.373
000688.SH,2020-08-14,1484.0407,1466.795,1486.4016,1453.7359,1468.2291,15.8116,1.0769,4313049.0,29906442.951
000688.SH,2020-08-13,1468.2291,1465.6044,1482.6307,1453.3811,1458.6425,9.5866,0.6572,4944971.0,37719205.369
000688.SH,2020-08-12,1458.6425,1485.5571,1488.88,1422.7308,1491.8414,-33.1989,-2.2254,6336105.0,42597006.679
000688.SH,2020-08-11,1491.8414,1531.6047,1539.8359,1490.8349,1535.5971,-43.7557,-2.8494,5771384.0,38932760.654
000688.SH,2020-08-10,1535.5971,1520.1025,1555.6842,1507.2707,1526.8034,8.7937,0.576,6018437.0,43695168.799
000688.SH,2020-08-07,1526.8034,1561.8557,1568.5611,1492.2461,1573.869,-47.0656,-2.9904,7357510.0,50034092.741
000688.SH,2020-08-06,1573.869,1582.4745,1589.7518,1552.5356,1588.6219,-14.7529,-0.9287,6986209.0,50466276.943
000688.SH,2020-08-05,1588.6219,1592.3878,1597.4714,1556.6811,1566.0553,22.5666,1.441,7167247.0,51790274.122
000688.SH,2020-08-04,1566.0553,1620.7948,1628.138,1555.9031,1622.8132,-56.7579,-3.4975,7827533.0,55106588.631
000688.SH,2020-08-03,1622.8132,1533.2272,1622.8132,1533.2272,1512.9764,109.8368,7.2597,9665389.0,66759438.506
000688.SH,2020-07-31,1512.9764,1469.0996,1513.7613,1467.7757,1472.7914,40.185,2.7285,8554323.0,59272295.221
000688.SH,2020-07-30,1472.7914,1484.4299,1496.269,1467.7982,1476.9248,-4.1334,-0.2799,7402878.0,50620078.654
000688.SH,2020-07-29,1476.9248,1400.9201,1476.9248,1395.9744,1400.5353,76.3895,5.4543,7326990.0,48468194.584
000688.SH,2020-07-28,1400.5353,1385.7933,1404.9026,1383.2842,1374.5189,26.0164,1.8928,5444707.0,33909664.447
000688.SH,2020-07-27,1374.5189,1396.4882,1403.1125,1361.9814,1389.3051,-14.7862,-1.0643,6206763.0,38244656.359
000688.SH,2020-07-24,1389.3051,1467.1027,1474.4601,1389.3051,1494.1393,-104.8342,-7.0164,10254387.0,58754658.081
000688.SH,2020-07-23,1494.1393,1487.1965,1512.4677,1459.7342,1497.2305,-3.0912,-0.2065,8947755.0,57698592.616
000688.SH,2020-07-22,1497.2305,1474.0151,1519.1222,1468.1118,1490.1714,7.0591,0.4737,9910810.97,64406298.258
000688.SH,2020-07-21,1490.1714,1456.4868,1499.8536,1454.588,1459.0339,31.1375,2.1341,7598157.0,49947393.973
000688.SH,2020-07-20,1459.0339,1459.7843,1463.7069,1388.277,1443.3965,15.6374,1.0834,9053350.01,57905387.955
000688.SH,2020-07-17,1443.3965,1475.4641,1495.9136,1425.6423,1469.7978,-26.4013,-1.7963,8965055.76,56025843.852
000688.SH,2020-07-16,1469.7978,1606.4351,1612.3281,1460.64,1612.0349,-142.2371,-8.8235,13819920.26,97427952.652
000688.SH,2020-07-15,1612.0349,1702.5807,1707.6328,1611.9106,1701.5824,-89.5475,-5.2626,10008757.26,68051034.073
000688.SH,2020-07-14,1701.5824,1714.8712,1726.1926,1647.6415,1721.9764,-20.394,-1.1843,9448435.48,62020287.102
000688.SH,2020-07-13,1721.9764,1647.1828,1721.9764,1640.9838,1654.8264,67.15,4.0578,8097677.94,52812436.503
000688.SH,2020-07-10,1654.8264,1653.5045,1682.6191,1633.1829,1666.8502,-12.0238,-0.7213,7818090.11,50611873.531
000688.SH,2020-07-09,1666.8502,1596.9839,1681.9061,1594.2555,1599.9053,66.9449,4.1843,9680794.36,57622342.895
000688.SH,2020-07-08,1599.9053,1572.7764,1608.1927,1555.3059,1572.189,27.7163,1.7629,7913151.86,45006799.899
000688.SH,2020-07-07,1572.189,1550.2962,1617.5998,1550.2962,1538.402,33.787,2.1962,10320028.01,55697521.536
000688.SH,2020-07-06,1538.402,1445.607,1547.1352,1444.6859,1438.5851,99.8169,6.9385,9449414.67,46127039.527
000688.SH,2020-07-03,1438.5851,1435.0821,1441.0887,1408.0799,1437.0521,1.533,0.1067,6024870.37,31709384.931
000688.SH,2020-07-02,1437.0521,1439.0094,1452.745,1424.1484,1439.8778,-2.8257,-0.1962,5994840.48,32374847.14
000688.SH,2020-07-01,1439.8778,1453.2515,1459.7705,1417.6017,1447.8856,-8.0078,-0.5531,6278613.52,33221522.578
000688.SH,2020-06-30,1447.8856,1410.5773,1454.3065,1410.5773,1401.644,46.2416,3.2991,5533660.39,28948822.613
000688.SH,2020-06-29,1401.644,1415.911,1415.911,1393.7148,1424.2771,-22.6331,-1.5891,5241554.58,25493640.883
000688.SH,2020-06-24,1424.2771,1408.5477,1432.9879,1406.8688,1407.1925,17.0846,1.2141,6376433.04,31501429.734
000688.SH,2020-06-23,1407.1925,1365.3292,1407.1925,1365.3292,1371.2069,35.9856,2.6244,5800882.24,28882768.472
000688.SH,2020-06-22,1371.2069,1347.9423,1380.374,1347.9423,1325.1466,46.0603,3.4759,7112389.8,33903733.976
000688.SH,2020-06-19,1325.1466,1301.0208,1329.202,1301.0208,1302.3711,22.7755,1.7488,4724995.14,23066336.736
000688.SH,2020-06-18,1302.3711,1289.7652,1304.4857,1286.4731,1291.1171,11.254,0.8716,4995969.24,24188476.063
000688.SH,2020-06-17,1291.1171,1291.0353,1299.7768,1280.5193,1289.1346,1.9825,0.1538,5459737.3,26075359.829
