ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159781.SZ,易方达中证科创创业50ETF,科创创业ETF易方达,易方达中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210628,2021-07-05,L,SZ,易方达基金,中国工商银行股份有限公司,0.15,纯境内
159782.OF,双创50,双创50,银华中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210629,2021-07-07,L,SZ,银华基金,招商银行股份有限公司,,纯境内
159782.SZ,双创50,双创50ETF银华,银华中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210629,2021-07-07,L,SZ,银华基金,招商银行股份有限公司,0.5,纯境内
159783.OF,华夏中证科创创业50ETF,华夏中证科创创业50ETF,华夏中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210624,2021-07-05,L,SZ,华夏基金,中国银行股份有限公司,,纯境内
159783.SZ,华夏中证科创创业50ETF,科创创业50ETF华夏,华夏中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20210624,2021-07-05,L,SZ,华夏基金,中国银行股份有限公司,0.15,纯境内
159786.OF,VRETF,VRETF,银华中证虚拟现实主题交易型开放式指数证券投资基金,930821.CSI,中证虚拟现实主题指数,20210729,2021-08-06,L,SZ,银华基金,招商银行股份有限公司,,纯境内
159786.SZ,VRETF,VRETF银华,银华中证虚拟现实主题交易型开放式指数证券投资基金,930821.CSI,中证虚拟现实主题指数,20210729,2021-08-06,L,SZ,银华基金,招商银行股份有限公司,0.5,纯境内
159787.OF,易方达中证全指建筑材料ETF,易方达中证全指建筑材料ETF,易方达中证全指建筑材料交易型开放式指数证券投资基金,931009.CSI,中证全指建筑材料指数,20220304,2022-03-15,L,SZ,易方达基金,中国建设银行股份有限公司,,纯境内
159787.SZ,易方达中证全指建筑材料ETF,建材ETF易方达,易方达中证全指建筑材料交易型开放式指数证券投资基金,931009.CSI,中证全指建筑材料指数,20220304,2022-03-15,L,SZ,易方达基金,中国建设银行股份有限公司,0.15,纯境内
159788.OF,易方达中证港股通中国100ETF,易方达中证港股通中国100ETF,易方达中证港股通中国100交易型开放式指数证券投资基金,930957.CSI,中证港股通中国100指数,20220222,2022-03-02,L,SZ,易方达基金,招商银行股份有限公司,,纯境内
159788.SZ,易方达中证港股通中国100ETF,港股通100ETF易方达,易方达中证港股通中国100交易型开放式指数证券投资基金,930957.CSI,中证港股通中国100指数,20220222,2022-03-02,L,SZ,易方达基金,招商银行股份有限公司,0.15,纯境内
